epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3971.96,0.83643,0.71098,1.08974,0.86546,0.72196,0.78792,0.49048,1.29356,0.7816,1.37725,0.000212129,0.000212129,0.000212129
73,4028.77,0.84082,0.71922,1.09746,0.88638,0.70761,0.78854,0.47095,1.42697,0.80845,1.45186,0.000205061,0.000205061,0.000205061
74,4083.41,0.83668,0.71546,1.09688,0.91697,0.70592,0.78664,0.47964,1.36449,0.78188,1.40125,0.000197992,0.000197992,0.000197992
75,4137.96,0.82382,0.70633,1.09186,0.88963,0.71435,0.7877,0.48086,1.32632,0.80097,1.39019,0.000190924,0.000190924,0.000190924
76,4196.36,0.82654,0.70094,1.09032,0.89804,0.71593,0.78707,0.48073,1.32265,0.75279,1.38061,0.000183855,0.000183855,0.000183855
77,4251.19,0.81761,0.69689,1.08561,0.88812,0.69944,0.78308,0.46469,1.40407,0.79243,1.43856,0.000176786,0.000176786,0.000176786
78,4304.57,0.82376,0.70019,1.088,0.89247,0.71389,0.78731,0.48579,1.32568,0.77298,1.38843,0.000169718,0.000169718,0.000169718
79,4362.09,0.8161,0.68955,1.08215,0.87803,0.72665,0.78983,0.49458,1.27766,0.75708,1.35863,0.000162649,0.000162649,0.000162649
80,4417.4,0.8105,0.68642,1.07796,0.90313,0.71063,0.78998,0.48501,1.32618,0.75689,1.39316,0.000155581,0.000155581,0.000155581
81,4472.18,0.80621,0.68026,1.07557,0.88326,0.71061,0.78722,0.48994,1.30533,0.75874,1.37465,0.000148512,0.000148512,0.000148512
82,4527.96,0.80687,0.67736,1.07764,0.85065,0.73002,0.79175,0.48167,1.34213,0.7757,1.41145,0.000141443,0.000141443,0.000141443
83,4584.12,0.80108,0.67683,1.07545,0.87729,0.71893,0.78029,0.48717,1.30223,0.77842,1.37321,0.000134375,0.000134375,0.000134375
84,4638.16,0.80908,0.68148,1.07893,0.88815,0.72285,0.79173,0.49211,1.30603,0.7676,1.37918,0.000127306,0.000127306,0.000127306
85,4691.35,0.80467,0.67483,1.07395,0.9036,0.71771,0.79077,0.49528,1.30098,0.75156,1.36546,0.000120238,0.000120238,0.000120238
86,4749.26,0.80228,0.66595,1.06875,0.89082,0.72236,0.79264,0.47921,1.33876,0.76401,1.41019,0.000113169,0.000113169,0.000113169
87,4803.57,0.78778,0.65989,1.0674,0.88992,0.72529,0.78933,0.49511,1.313,0.75358,1.38327,0.0001061,0.0001061,0.0001061
88,4857.82,0.79104,0.6659,1.06911,0.92048,0.71526,0.79529,0.49691,1.30166,0.7407,1.37003,9.90318e-05,9.90318e-05,9.90318e-05
89,4915.93,0.78471,0.66176,1.0672,0.88184,0.73003,0.79316,0.49264,1.32363,0.74895,1.38409,9.19632e-05,9.19632e-05,9.19632e-05
90,4970.34,0.79243,0.66199,1.06814,0.92527,0.70968,0.79013,0.50005,1.27975,0.73944,1.36089,8.48946e-05,8.48946e-05,8.48946e-05
91,5026.11,0.80683,0.59938,1.07261,0.90306,0.70376,0.79323,0.48891,1.31816,0.75782,1.37922,7.7826e-05,7.7826e-05,7.7826e-05
92,5076.19,0.77908,0.56995,1.05883,0.92093,0.69489,0.79473,0.49045,1.31728,0.75399,1.37611,7.07574e-05,7.07574e-05,7.07574e-05
93,5130.43,0.77353,0.56419,1.05406,0.9046,0.7044,0.79271,0.49645,1.29829,0.73509,1.38526,6.36888e-05,6.36888e-05,6.36888e-05
94,5182.11,0.77083,0.56249,1.05495,0.89855,0.71233,0.79413,0.4992,1.30312,0.73521,1.37351,5.66202e-05,5.66202e-05,5.66202e-05
95,5233.84,0.76879,0.56219,1.05132,0.89654,0.72716,0.79874,0.50125,1.27766,0.73458,1.35717,4.95516e-05,4.95516e-05,4.95516e-05
96,5289.49,0.76908,0.55836,1.05275,0.91154,0.71339,0.8006,0.49677,1.28829,0.74082,1.36618,4.2483e-05,4.2483e-05,4.2483e-05
97,5341.65,0.75561,0.54909,1.04607,0.90429,0.70807,0.7965,0.50622,1.27673,0.72488,1.3555,3.54144e-05,3.54144e-05,3.54144e-05
98,5393.15,0.7574,0.54751,1.04746,0.90692,0.71984,0.79887,0.50545,1.26046,0.72807,1.3435,2.83458e-05,2.83458e-05,2.83458e-05
99,5446.03,0.7535,0.54629,1.04386,0.91155,0.71408,0.80072,0.50927,1.26525,0.72592,1.34801,2.12772e-05,2.12772e-05,2.12772e-05
100,5501.81,0.74703,0.54293,1.04222,0.90966,0.71278,0.80102,0.50375,1.28581,0.72868,1.36235,1.42086e-05,1.42086e-05,1.42086e-05
